<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En Root Area tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
18 HTTP.BROWSER_Chrome abierta(en camino)
112 HTTPS.BROWSER abierta(en camino)
49 QUIC abierta(en camino)
13 BitTorrent abierta(en camino)
13 iCloud abierta(en camino)
13 Microsoft.Portal abierta(en camino)
7 IMAPS abierta(en camino)
50 Google.Services abierta(en camino)
55 Facebook abierta(en camino)
6 Apple.Push.Notification abierta(en camino)
14 Instagram abierta(en camino)
11 Apple.Services abierta(en camino)
8 Google.Accounts abierta(en camino)
2 Dailymotion abierta(en camino)
14 WhatsApp_File.Transfer abierta(en camino)
2 Yahoo.Services abierta(en camino)
9 Microsoft.Office.Online abierta(en camino)
14 Microsoft.Outlook abierta(en camino)
1 Tinder abierta(en camino)
1 Twitch abierta(en camino)
5 YouTube abierta(en camino)
3 Apple.Maps abierta(en camino)
5 Google.Analytics abierta(en camino)
6 NTP abierta(en camino)
2 SSL_TLSv1.2 abierta(en camino)
1 Microsoft.Office.Update abierta(en camino)
1 Flowplayer abierta(en camino)
2 Apple.Store abierta(en camino)
5 Amazon.AWS abierta(en camino)
1 Microsoft.SharePoint abierta(en camino)
1 Twitter abierta(en camino)
4 Hola.Unblocker abierta(en camino)
9 HTTP.BROWSER abierta(en camino)
3 Gmail abierta(en camino)
1 Amazon.Services abierta(en camino)
2 Facebook_Video.Play abierta(en camino)
3 Ping abierta(en camino)
4 STUN abierta(en camino)
1 Telegram abierta(en camino)
1 OneDrive abierta(en camino)
4 Snapchat abierta(en camino)
8 Google.Ads abierta(en camino)
1 Skype.Portals abierta(en camino)
11 WhatsApp abierta(en camino)
6 Microsoft.Authentication abierta(en camino)
4 MS.Windows.Update abierta(en camino)
2 Microsoft.Outlook.Office.365 abierta(en camino)
1 Amazon.Mobile abierta(en camino)
6 HTTP.BROWSER_Safari abierta(en camino)
2 OCSP abierta(en camino)
1 TED abierta(en camino)
1 Dropbox abierta(en camino)
1 Root.Certificate.URL abierta(en camino)
1 SSL_TLSv1.0 abierta(en camino)
1 Yahoo.Calendar abierta(en camino)
1 Baidu.Services abierta(en camino)
1 Amazon.Ads abierta(en camino)
4 Chatango abierta(en camino)
1 Skype abierta(en camino)
1 MPTCP abierta(en camino)
1 Tencent.Services abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > B2 > 3er Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
3 YouTube abierta(en camino)
6 iCloud abierta(en camino)
8 Facebook abierta(en camino)
15 QUIC abierta(en camino)
1 WebSocket abierta(en camino)
2 Microsoft.Outlook.Office.365 abierta(en camino)
2 WhatsApp_File.Transfer abierta(en camino)
10 HTTPS.BROWSER abierta(en camino)
2 Google.Accounts abierta(en camino)
2 Apple.Push.Notification abierta(en camino)
1 Google.Data.Saver abierta(en camino)
3 Microsoft.Portal abierta(en camino)
1 HTTP.BROWSER_Chrome abierta(en camino)
2 Instagram abierta(en camino)
7 Google.Services abierta(en camino)
